id,name,description,price,currency,paddle_id,img_url,status,features,delivery_method,created_at,updated_at,category,is_featured
11,Power Pointless,Design decks that no one reads but everyone reschedules. AI auto-adds 12 bullet points and a pie chart that means nothing.,2999,USD,pri_01k9txhz8wr3dcdrbaqgsxee0e,/images/power-pointless.webp,active,"[""AI bullet generator"",""78 slide templates of lies"",""auto-animate your demise"",""transitions smoother than your career path"",""endless \u201cfinal_v9.pptx\u201d clones""]",NULL,2025-11-12 02:15:46,2025-11-12 02:17:03,productivity,0
12,MicroStress 365,"The complete suite of emotional breakdowns, now cloud-synced. AI auto-schedules burnout reminders directly into your Outlook calendar.",4999,USD,pri_01k9ty9cfebvvwgn7a343n77eg,/images/micro-stress-365.webp,active,"[""Cloud-synced anxiety"",""Outlook-integrated burnout tracker"",""team micromanagement tools"",""mandatory 7 AM standups"",""corporate-approved breakdown scheduling""]",NULL,2025-11-12 02:28:34,2025-11-12 02:28:34,productivity,0
13,Azure Doom,Deploy your hopes to the cloud and watch them bill exponentially.,3999,USD,pri_01k9tynbsdq4112fbw7gb1tp1y,/images/azure-doom.webp,active,"[""Deploys debt to the cloud"",""cost optimizer that increases cost"",""bill surprise generator"",""uptime lies dashboard"",""AI-driven regret calculator""]",NULL,2025-11-12 02:35:06,2025-11-12 02:35:06,productivity,0
14,Bug Simulator 2025,Play as a developer fixing bugs that only exist in production.,999,USD,pri_01k9tyvmvrk3qb0pkgrqq20wn9,/images/bug-simulator.webp,active,"[""Features: infinite regress of hotfixes"",""auto-generated Jira tickets"",""emotional damage meter"",""real-time user complaints"",""DLC sold separately but already broken""]",NULL,2025-11-12 02:38:32,2025-11-12 02:40:59,game,0
15,Grand Theft Office,Open-plan mayhem simulator.,5999,USD,pri_01k9tyypkwe9ktnsdz457jzmbf,/images/grand-theft-office.webp,active,"[""Features: passive-aggressive stealth mode"",""coffee-theft leaderboard"",""realistic meeting fatigue"",""printer boss raid"",""HR battle royale""]",NULL,2025-11-12 02:40:12,2025-11-12 02:40:12,game,0
16,AlgoRhythm,AI that remixes your data into pure corporate noise.,2999,USD,pri_01k9v090xc63fqvsn3823hjqkz,/images/algo-rythm.webp,archived,"[""Features: data-driven nonsense beats"",""personalized KPI funk"",""syncs to your burnout"",""algorithmic remix of regret"",""no export option""]",NULL,2025-11-12 03:03:19,2025-11-12 13:23:15,AI,0
17,Cryptic,Trade invisible assets for tangible anxiety.,499,USD,pri_01k9v0dw97trqm8h7z56xtdk2q,/images/cryptic.webp,active,"[""Features: real-time panic notifications"",""charts that mock you"",""market manipulation simulator"",""wallet full of nothing"",""community of fellow delusionists""]",NULL,2025-11-12 03:05:58,2025-11-12 03:06:16,finance,0
18,PayPanic,Securely send money. To the wrong person.,899,USD,pri_01k9w3yyx7xw63y760t2nczhhv,/images/paypanic.webp,active,"[""\u201cOops refund not available"",""\u201d forced KYC interrogation"",""random account freezes"",""17 login verifications"",""emotional fee breakdown""]",NULL,2025-11-12 13:26:58,2025-11-12 13:54:14,finance,0
19,Pokémon Burnout,Catch them all… or they catch you first.,1489,USD,pri_01k9w5k19pc5hw1b284nv5ck9r,/images/pokemon.webp,active,"[""unpaid internships at Team Rocket"",""micro-rest mechanics"",""nostalgia monetization"",""therapy gym leader"",""AI that remembers your childhood trauma""]",NULL,2025-11-12 13:55:28,2025-11-12 14:11:36,game,1
20,Counter-Strike 2,The next era of Counter-Strike built on Source 2.,2999,USD,pri_01k8eh5tdcftr6fap8tan5pmrb,https://placehold.co/600x400,archived,[],NULL,2025-11-12 15:00:23,2025-11-12 15:00:23,NULL,0
21,Cloud Development Coursess,All in one cloud computing course,11900,USD,pri_01js266k2f0n00pkj9tny4rz5p,https://res.cloudinary.com/ds8pgw1pf/image/upload/v1746321631/penguinui/templates/Cloudix/course-cover.webp,archived,"[""Hands On Projects"",""DevOps & CI\/CD Included"",""Lifetime Access & Updates""]",NULL,2025-11-12 15:00:26,2025-11-12 15:00:26,NULL,0
